# 노부나가의 야망 (GBA) 한글패치 — 번역 대조표

자동 독음 변환 4391건 / 번역 1035건 + 시퀀스 187그룹

## 1. 자동 독음 변환 (인명·지명·성 등)
一万田	일만전
秀吉の股肱。墨俣一夜城築城から歴史の表舞台に登場。秀吉の参謀として民政・調略に腕を振るい、四国征伐後、長宗我部氏の押さえとして阿波に封ぜられた。	→	수길의 고굉이다。묵우 일야성 축성으로 역사 전면에 등장했다。수길의 참모로서 민정과 조략에 수완을 발휘했고、사국정벌 후 장종아부씨를 견제하기 위해 아파에 봉해졌다。
秀吉子飼いの将。吏僚としてその手腕を発揮、豊臣政権成立後は五奉行の筆頭となる。秀吉の死後、石田三成と対立して豊臣家を退転、以後は徳川家についた。	→	수길이 직접 키운 장수. 문관으로서 그 수완을 발휘하여, 풍신 정권 성립 후 오봉행의 필두가 되었다. 수길 사후 석전삼성과 대립하여 풍신가에서 물러났고, 이후로는 덕천가를 따랐다.
私は堺の商人を束ねる身、金ではなく心にて動きます	→	저는 계의 상인들을 이끄는 몸이니, 돈이 아니라 마음으로 움직이옵니다
移動	→	이동
移動できる場所があり	→	이동할 수 있는 곳이
稙宗の三男。越後上杉家に入嗣するはずだったが、兄・晴宗がこれを阻止したため「天文の大乱」が起こった。乱中は稙宗側に属すが、終息後は晴宗に仕えた。	→	직종의 삼남. 월후 상삼가에 양자로 들어갈 예정이었으나, 형 청종이 이를 저지하여 「천문대란」이 일어났다. 난 중에는 직종 편에 섰으나, 종식 후에는 청종을 섬겼다.
穂井田元清の子。従兄弟・輝元の養子となる。豊臣秀吉の朝鮮派兵の際は毛利軍を指揮した。関ヶ原合戦の際は主戦場に赴き「宰相殿の空弁当」の逸話を生む。	→	수정전원청의 아들. 사촌 휘원의 양자가 되었다. 풍신수길의 조선 파병 때 모리군을 지휘했다. 관원합전 때는 주전장에 나갔으나, 「재상님의 빈 도시락」이라는 일화를 낳았다.
空白国	→	공백국
空白国です	→	공백 국가입니다
筒井家臣。井戸城主。のち居城を子・覚弘に譲り、織田信長に仕える。各地で功を立て、山城槇島２万石を得た。山崎合戦で明智光秀に属したため改易された。	→	통정 가신. 정호성주. 훗날 거성을 아들 각홍에게 물려주고 직전신장을 섬겼다. 각지에서 공을 세워 산성 전도 ２만 석을 얻었으나, 산기합전에서 명지광수에게 속했다는 이유로 개역되었다.
籠城しますか？	→	농성하시겠습니까?
籠城する敵でないと勧告でき	→	적이 농성 중이 아니면 권고할 수가
米30日分:%2d 7日分:%2d	→	쌀 30일분:%2d 7일분:%2d
紀伊の土豪。佐大夫の三男。通称「雑賀孫市」。雑賀の鉄砲衆を率いて石山本願寺に籠城し、織田信長軍を苦しめた。石山開城後は豊臣秀吉に仕えたという。	→	기이의 토호이다。좌대부의 삼남이다。통칭「잡하손시」이다。잡하의 철포대를 이끌고 석산 본원사에 농성하며 직전신장군을 괴롭혔다。석산성 함락 후에는 풍신수길을 섬겼다고 한다。
紀伊の土豪。雑賀城主。鉄砲で武装した傭兵集団・雑賀党を率いる。本願寺と結び織田信長と戦った。のち紀伊に入った豊臣家臣・藤堂高虎に欺かれ自害した。	→	기이의 토호이다。잡하성주다。철포로 무장한 용병 집단 잡하당을 이끌었다。본원사와 손잡고 직전신장과 싸웠다。훗날 기이에 들어온 풍신가신 등당고호에게 속아 자결했다。
紀伊の豪族。雑賀党の一員。石山本願寺に籠城し活躍した。すぐれた射撃の腕を持ち、織田信長が攻め寄せた際、信長を狙撃し大腿部に重傷を負わせたという。	→	기이의 호족. 잡하당의 일원. 석산본원사에 농성하며 활약했다. 뛰어난 사격 솜씨를 지녀, 직전신장이 공격해 왔을 때 신장을 저격하여 대퇴부에 중상을 입혔다고 한다.
紀伊の豪族。４人の子とともに石山本願寺に籠城して戦い、信長軍を苦しめた。のち石山本願寺を退去するが、所領に戻って抵抗を続けたため、謀殺された。	→	기이의 호족. 네 아들과 함께 석산본원사에 농성하며 싸워 신장의 군대를 괴롭혔다. 이후 석산본원사에서 퇴거했으나, 소령으로 돌아가 저항을 계속했기 때문에 모살당했다.
細川家臣。主家の実権を奪って勢力を拡大、主君・晴元を追放して畿内の掌握に成功した。しかし嫡男・義興や弟たちの死後は心身に支障をきたし、病死した。	→	세천가신이다。주가의 실권을 빼앗아 세력을 확대하고、주군 청원을 추방하여 기내 장악에 성공했다。그러나 적남 의흥과 아우들의 죽음 이후 심신에 이상이 생겨 병사했다。
細川家臣。摂津榎並城主。政長の子。父を殺した三好長慶と争い、長慶死後は三好三人衆と和解。織田信長の畿内平定軍に降った。のち豊臣、徳川家に仕えた。	→	세천 가신. 섭진 가병성주. 정장의 아들. 부친을 죽인 삼호장경과 다투었고, 장경 사후에는 삼호삼인중과 화해했다. 직전신장의 기내 평정군에 항복했다. 이후 풍신, 덕천가를 섬겼다.
細川家臣。讃岐天霧城主。主家没落後は三好家に従う。のち織田信長に通じるが長宗我部元親の讃岐侵攻軍に降り、元親の次男・親和を養子とし家督を譲った。	→	세천 가신. 찬기 천무성주. 주가 몰락 후에는 삼호가를 따랐다. 이후 직전신장과 내통했으나 장종아부원친의 찬기 침공군에 항복하여, 원친의 차남 친화를 양자로 삼아 가독을 물려주었다.
細川藤孝の父。幕府の奉行衆を務め、義晴・義輝・義昭と将軍３代に仕える。細川晴元が京に侵攻した際は、防戦に努めたが敗れ、近江に逃れている。	→	세천등효의 아버지. 막부의 봉행중을 지냈으며 의청、의휘、의소와 장군 3대를 섬겼다. 세천청원이 경을 침공했을 때는 방전에 힘썼으나 패하여 근강으로 달아났다.
紹{G13}白天目	→	소{G13}백천목
終了しますか？	→	종료하시겠습니까?
結城家臣。佐竹家や宇都宮家へ使者として赴くなど、外交面で活躍した。徳川家康の次男・秀康の結城家入嗣を取りまとめ、豊臣秀吉に功を賞せられた。	→	결성 가신. 좌죽가와 우도궁가에 사자로 왕래하는 등 외교 방면에서 활약했다. 덕천가강의 차남 수강의 결성가 입사를 주선했으며, 풍신수길에게 공로를 치하받았다.
結城家臣。旧姓は三浦。主君・晴朝から結城四天王の一・岩上姓の名乗りを許された。佐竹義重や田村清顕と文書のやりとりを行うなど、外交面で活躍した。	→	결성 가신. 구성은 삼포. 주군 청조로부터 결성 사천왕의 하나인 암상 성의 칭호를 허락받았다. 좌죽의중, 전촌청현과 문서를 주고받는 등 외교 방면에서 활약했다.
結城家１６代当主。「結城氏新法度」を定めて支配力を強化する。北関東に勢力を伸ばす北条氏康の援助を受け、佐竹、宇都宮、小田家らと争った。	→	결성가 １６대 당주。 「결성씨신법도」를 제정해 지배력을 강화했다。 북관동에 세력을 뻗치던 북조씨강의 원조를 받아 좌죽、 우도궁、 소전가 등과 싸웠다。
結城家１７代当主。小山高朝の次男。伯父・政勝の養子となる。北条・上杉両家の間で離合集散を繰り返した。のちに徳川家康の次男・秀康を養子とした。	→	결성가 １７대 당주. 소산고조의 차남. 백부 정승의 양자가 되었다. 북조, 상삼 양가 사이에서 이합집산을 반복했다. 이후 덕천가강의 차남 수강을 양자로 삼았다.
結構なお点前。よく茶の心を学んでおられる	→	훌륭한 솜씨이옵니다. 다도의 마음을 잘 익히고 계시옵니다
総大将でなければ聞け	→	총대장이 아니면 들을 수가
織田信長の側近。各地で軍功を重ねる一方で徳川家康の饗応役も務め、文武の両面にその才を発揮した。信長死後は豊臣秀吉に臣従、一門同様の待遇を受けた。	→	직전신장의 측근. 각지에서 군공을 쌓는 한편 덕천가강의 향응역도 맡아 문무 양면에서 그 재능을 발휘했다. 신장 사후에는 풍신수길에게 신종하여, 일문과 같은 대우를 받았다.
織田信長の嫡男。１６歳で初陣、松永久秀討伐や甲斐平定などに軍功を上げる。信長の後継者として期待されていたが、本能寺の変の際、二条御所で自刃した。	→	직전신장의 적남이다。１６세에 첫 출진、송영구수 토벌과 갑비 평정 등에서 군공을 세웠다。신장의 후계자로 기대받았으나 본능사의 변 때 이조어소에서 자결했다。
織田家筆頭家老。主家の家督争いでは信行方につくが、許される。しかし、その後目立つ働きがなかったため、信行擁立の件を蒸し返され、追放処分となった。	→	직전가 필두 가로. 주가의 가독 다툼에서는 신행측에 붙었으나 용서받았다. 그러나 그 후 눈에 띄는 공이 없었기에 신행 옹립의 건이 다시 거론되어 추방 처분되었다.
織田家臣。「瓶割り柴田」の異名をとった猛将。北陸方面軍の総大将を務めた。本能寺の変後、羽柴秀吉と争うが賤ヶ岳の合戦で敗れ、居城・北ノ庄城で自害。	→	직전가신이다。「항아리 깨는 시전」이라는 별명을 얻은 맹장이다。북륙방면군의 총대장을 맡았다。본능사의 변 후、우시수길과 다투었으나 천악합전에서 패해 거성인 북장성에서 자결했다。
織田家臣。「米五郎左」の異名をとる。安土城の普請奉行を務めるなど、行政面で活躍した。本能寺の変後は羽柴秀吉に属し、越前北ノ庄１２０万石を領した。	→	직전가신이다。「미오랑좌」라는 별명을 얻었다。안토성의 보청봉행을 맡는 등 행정면에서 활약했다。본능사의 변 후에는 우시수길에 속해 월전 북장 １２０만석을 영유했다。
織田家臣。信長の乳兄弟。姉川合戦などで活躍した。本能寺の変後は、織田家四宿老の１人となる。羽柴秀吉に味方して小牧長久手の合戦に出陣し、戦死した。	→	직전가신이다。신장의 유형제이다。자천합전 등에서 활약했다。본능사의 변 후、직전가 사숙로 중 １명이 되었다。우시수길에게 가담해 소목장구수합전에 출진했다가 전사했다。
織田家臣。優れた才知と教養により信長に重用されたが、突如謀叛を起こし、信長を本能寺に討つ。しかし事後調略に失敗し山崎合戦で敗北、土民に殺された。	→	직전가 가신. 뛰어난 재지와 교양으로 신장에게 중용되었으나, 돌연 모반을 일으켜 신장을 본능사에서 쳤다. 그러나 사후 공작에 실패해 산기 합전에서 패배하고 토민에게 살해당했다.
織田家臣。可成の嫡男。長島一向一揆鎮圧や武田家討滅戦に参戦し「鬼武蔵」の異名をとった。本能寺の変後は豊臣秀吉に従い、小牧長久手の合戦で戦死した。	→	직전 가신. 가성의 적남. 장도 잇코잇키 진압과 무전 가문 토멸전에 참전하여 「귀무장」이라는 이명을 얻었다. 본능사의 변 이후에는 풍신수길을 따랐고, 소목 장구수 합전에서 전사했다.
織田家臣。各地の合戦で活躍し「のき佐久間」の異名をとる。石山本願寺攻めの総大将を務めるが、本願寺の退去後、怠慢不手際の叱責を受け、追放された。	→	직전가신이다。각지의 합전에서 활약해「물러나는 좌구간」이라는 별명을 얻었다。석산 본원사 공격의 총대장을 맡았으나、본원사 퇴거 후 태만과 미숙함으로 질책을 받아 추방되었다。
織田家臣。各地の合戦で活躍し「進むも退くも滝川」と称された。甲斐平定後、関東管領となる。本能寺の変後、北条軍と戦って惨敗し、以後は勢威を失った。	→	직전가신이다。각지의 합전에서 활약해「진격도 퇴각도 롱천」이라 불렸다。갑비 평정 후 관동관령이 되었다。본능사의 변 후、북조군과 싸워 참패하고 이후 위세를 잃었다。
織田家臣。妻・千代の内助の功が著名。本能寺の変後は豊臣秀吉に属す。関ヶ原合戦の際は居城・掛川城を徳川家康に献上し、戦後、土佐高知２４万石を得た。	→	직전 가신. 아내 천대의 내조의 공이 유명하다. 본능사의 변 이후에는 풍신수길에 속했다. 관원 합전 때는 거성인 괘천성을 덕천가강에게 헌상하여, 전후 토좌 고지 24만 석을 얻었다.
織田家臣。尾張統一戦や桶狭間合戦などで活躍した。近江宇佐山城を守備する。浅井・朝倉連合軍の進撃を防ぐため討って出るが、猛攻を受けて戦死した。	→	직전가 가신. 미장통일전이나 통협간합전 등에서 활약했다. 근강 우좌산성을 수비했다. 천정, 조창 연합군의 진격을 막기 위해 나가 싸웠으나, 맹공을 받아 전사했다.
織田家臣。志摩海賊衆の１人。木津川口合戦での大敗を契機に「鉄甲船」を建造し、毛利水軍を粉砕する。その功で大名に出世し「海賊大名」の異名をとった。	→	직전 가신. 지마 해적중의 한 사람이다. 목진천구 합전에서의 대패를 계기로 「철갑선」을 건조하여 모리 수군을 분쇄했다. 그 공으로 다이묘로 출세하여 「해적다이묘」라는 별명을 얻었다.
織田家臣。恒興の次男。本能寺の変後は豊臣家に属し、各地で活躍。関ヶ原合戦では東軍に属し、戦後、播磨姫路５２万石を領して「姫路宰相」と呼ばれた。	→	직전 가신. 항흥의 차남. 본능사의 변 이후 풍신가에 속해 각지에서 활약했다. 관원 합전에서는 동군에 속했으며, 전후, 파마 희로 ５２만 석을 영유하여 「희로재상」이라 불렸다.
織田家臣。数々の合戦で活躍し「槍の又左」の異名をとった。のちに柴田勝家に従って北陸平定に貢献。信長の死後は豊臣秀吉に仕え、五大老の１人となった。	→	직전 가신. 수많은 합전에서 활약하여 「창의 우좌」라는 이명을 얻었다. 훗날 시전승가를 따라 북륙 평정에 공헌했다. 신장 사후에는 풍신수길을 섬겨 오대로의 한 사람이 되었다.
織田家臣。柴田勝家に属して北陸の攻略に貢献する。本能寺の変後、羽柴秀吉と対立するが、敗れて降伏。転封先・肥後の領国経営に失敗し自害を命じられた。	→	직전가신이다。시전승가에 속해 북륙 공략에 공헌했다。본능사의 변 후、우시수길과 대립했으나 패하여 항복했다。전봉지인 비후의 영지 경영에 실패해 자결을 명받았다。
織田家臣。柴田勝家の与力となる。賤ヶ岳合戦では柴田軍の先鋒として奮戦し、戦後、豊臣家に仕える。関ヶ原合戦で西軍に属して活躍したが、戦後自害した。	→	직전 가신. 시전승가의 여력이 되었다. 천악 합전에서는 시전군의 선봉으로 분전했고, 전후에는 풍신가를 섬겼다. 관원 합전에서 서군에 속해 활약했으나 전후 자해했다.
織田家臣。藤孝の子。明智光秀の娘を娶るが、本能寺の変後は豊臣家に属す。関ヶ原合戦では東軍に属し、豊前中津３９万６千石を領した。利休七哲の１人。	→	직전가신이다。등효의 아들이다。명지광수의 딸을 아내로 맞이했으나、본능사의 변 이후 풍신가에 속했다。관가원합전에서는 동군에 속하여 풍전 중진 ３９만６천석을 영유했다。이휴칠철의 １명이다。
織田家臣。賢秀の子。主君・信長の娘を娶る。本能寺の変後は豊臣秀吉に仕え活躍、陸奥会津９２万石を領した。文武に秀でたその器量を秀吉は恐れたという。	→	직전가신이다。현수의 아들이다。주군 신장의 딸을 아내로 맞았다。본능사의 변 이후에는 풍신수길을 섬기며 활약、육오 회진 ９２만석을 영유했다。문무에 뛰어난 그 기량을 수길은 두려워했다고 한다。
織田家臣。赤母衣衆の１人。柴田勝家に従い北陸平定に貢献。勝家の死後は蟄居するが、のち豊臣秀吉に仕えた。茶の湯に秀で、利休七哲の１人に数えられる。	→	직전 가신. 적모의중의 한 사람. 시전승가를 따라 북륙 평정에 공헌했다. 승가 사후에는 칩거했으나, 훗날 풍신수길을 섬겼다. 다도에 뛰어나 이휴 칠철의 한 사람으로 꼽혔다.
織田家臣。黒母衣衆の１人。斎藤家を経て織田信長に仕える。以後は遊軍を率いて各地で活躍した。本能寺の変後は豊臣秀吉に属し、越前敦賀５万石を領した。	→	직전 가신. 흑모의중의 한 사람. 재등가를 거쳐 직전신장을 섬겼다. 이후 유군을 이끌고 각지에서 활약했다. 본능사의 변 이후에는 풍신수길에게 속하여 월전 돈하 5만 석을 영유했다.
義守の嫡男。通称「出羽の驍将」。父を隠居させ、弟を殺して当主となる。密約外交や敵重臣の暗殺など権謀術数の限りを尽くし、最上家最大の版図を築いた。	→	의수의 적남。 통칭 「출우의 효장」。 아버지를 은거시키고 아우를 죽여 당주가 되었다。 밀약외교와 적 중신 암살 등 권모술수를 다해 최상가 최대의 판도를 쌓았다。
義祐の弟。木崎原合戦で、１０分の１の兵力で編制された島津義弘ら率いる軍団に、{G06}乱戦法や奇襲を仕掛けられて敗れ戦死した。	→	의우의 동생. 목기원 합전에서 10분의 1의 병력으로 편성된 도진의홍 등이 이끄는 군단에게 {G06}난전법과 기습을 받아 패해 전사했다.
肝付家庶流。一貫して島津家に従い、島津家に対抗した本家と行動を異にした。大隅加治木城主を務め、蒲生家攻めや伊東家攻めに軍功を立てた。	→	간부가 서류. 일관되게 도진가를 따르며, 도진가에 대항한 본가와는 행동을 달리했다. 대우 가치목성주를 맡아 포생가 공격과 이동가 공격에 군공을 세웠다.
肥前佐賀藩主。直茂の嫡男。関ヶ原合戦で西軍に属すが、巧みな事後処理で所領を安堵される。島原の乱の際は、多大な犠牲を払いながらも乱鎮圧に貢献した。	→	비전 좌하번주. 직무의 적남. 관원합전에서 서군에 속했으나, 능숙한 사후 처리로 소령을 안도받았다. 도원의 난 때는 다대한 희생을 치르면서도 난 진압에 공헌했다.
肥後の戦国大名。人吉城主。晴広の子。祖父・上村頼興の後見を受ける。２度の内乱を乗り切って領国を拡大するが島津家に降り、阿蘇家との戦いで戦死した。	→	비후의 전국다이묘. 인길성주. 청광의 아들. 조부 상촌뢰흥의 후견을 받았다. ２차례의 내란을 극복하고 영국을 확대했으나 도진가에 항복하고, 아소가와의 싸움에서 전사했다.
肥後人吉藩主。義陽の次男。兄・忠房の夭逝により家督を継ぐ。豊臣秀吉の九州征伐軍に降伏した。関ヶ原合戦では美濃大垣城で東軍に内応し、所領を保った。	→	비후 인길번주。의양의 차남。형 충방이 요절하여 가독을 이었다。풍신수길의 구주 정벌군에 항복했다。관원합전에서는 미농 대원성에서 동군에 내응하여、소령을 지켰다。
肥後人吉藩主。義陽の長男。阿蘇家の戦いで死んだ義陽の後を継いで若くして当主となる。しかし僅か４年後、島津軍に従軍中に戦場で急死した。	→	비후 인길번주. 의양의 장남. 아소가와의 싸움에서 죽은 의양의 뒤를 이어 젊은 나이에 당주가 되었다. 그러나 불과 4년 후, 도진군에 종군하던 중 전장에서 급사했다.
肥後古麓城主。上村頼興の子。相良義滋の養子となり、跡を継ぐ。対明貿易を行い、分国法の「相良氏法度」を制定するなど、支配力の強化に努めた。	→	비후 고록성주. 상촌뢰흥의 아들. 상량의자의 양자가 되어 뒤를 이었다. 대명무역을 행하고, 분국법인 「상량씨법도」를 제정하는 등 지배력 강화에 힘썼다.
能島村上水軍の頭領。義忠の子。厳島合戦において毛利軍の勝利に大きく貢献。以後は毛利家に仕え、木津川口合戦で織田水軍に大勝するなど各地で活躍した。	→	능도 촌상 수군의 두령。의충의 아들。엄도합전에서 모리군의 승리에 크게 공헌。이후 모리가를 섬기며、목진천구합전에서 직전 수군에 대승하는 등 각지에서 활약했다。
能登の戦国大名。義綱の嫡男。祖父・義続と父が追放された後、幼年で重臣たちに擁立される。のちに重臣たちの派閥闘争に巻き込まれ、何者かに暗殺された。	→	능등의 전국다이묘. 의강의 적남. 조부 의속과 아버지가 추방된 후 어린 나이에 중신들에게 옹립되었다. 훗날 중신들의 파벌 다툼에 휘말려 누군가에게 암살당했다.
能登守護。義続の嫡男。父とともに実権の回復に尽力するが、重臣らに追放されて失敗に終わる。その後、何度も能登入国を試みるが、すべて失敗に終わった。	→	능등 수호. 의속의 적남. 아버지와 함께 실권 회복에 힘썼으나 중신들에게 추방되어 실패로 끝났다. 그 후로도 여러 차례 능등 입국을 시도했으나 모두 실패로 끝났다.
自国です	→	자국입니다
自国ではありません	→	자국이 아닙니다
船では突撃は出来	→	배로는 돌격을 할 수가
良頼の子。近隣の豪族を討って飛騨国内を統一する。本能寺の変後、佐々成政と組んで秀吉に対抗したため、金森長近に攻撃され降伏。姉小路家は滅亡する。	→	양뢰의 아들. 인근 호족을 토벌해 비탄국내를 통일했다. 본능사의 변 후 좌좌성정과 손잡고 수길에 대항했기 때문에 금삼장근에게 공격받아 항복했다. 자소로가는 멸망했다.
芦屋{G14}真形	→	로옥{G14}진형
若狭守護。義統の長男。朝倉義景の攻撃を受け、越前に幽閉される。朝倉家滅亡後は若狭に帰国した。本能寺の変で明智光秀に加担したため、謀殺された。	→	약협 수호. 의통의 장남. 조창의경의 공격을 받아 월전에 유폐되었다. 조창 가문 멸망 후 약협으로 귀국했다. 본능사의 변에서 명지광수에게 가담했기 때문에 모살당했다.
茶会を催しますか？	→	다회를 여시겠습니까?
茶道%s	→	다도%s
薬を買いますか？	→	약을 사시겠습니까?
行動力がありません	→	행동력이 없습니다
行動力が足りません	→	행동력이 부족합니다
製造し	→	제조 중
製造でき	→	제조 가능
褒美を与える武将	→	포상할 무장
見た所、%s%s殿は今の処遇に満足しておられぬご様子	→	보아하니, %s%s님은 지금의 처우에 만족하지 못하시는 눈치이옵니다
見つかり	→	발견되었
訓練度	→	훈련도
誠久の子。山中鹿之介らに擁立され、尼子家の再興を目指す。織田信長を頼り、出雲入国を試みるが失敗し、のち播磨上月城の戦いで毛利軍に敗れ、自害した。	→	성구의 아들. 산중록지개 등에게 옹립되어 이자가의 재흥을 도모했다. 직전신장에게 의지해 출운 입국을 시도했으나 실패하고, 이후 파마 상월성 전투에서 모리군에게 패하여 자결했다.
誠意が民の心を動かしました	→	정성이 백성의 마음을 움직였습니다
説得のかいなく、一揆が起こり	→	설득의 보람도 없이, 잇키가 일어나
誰に命じ	→	누구에게 명하
誰の様子を見ますか?	→	누구의 상황을 보시겠습니까?
誰も委任しており	→	위임한 이가
誰をご覧になり	→	누구를 보시고
誰を教育し	→	누구를 교육하시겠습니까?
誰を移動させ	→	누구를 이동시키
誰を総大将にし	→	누구를 총대장으로 하
謀略	→	모략
豊臣家臣。はじめ延暦寺の僧であったが還俗し、織田信忠に仕える。本能寺の変の際は信忠の嫡男・秀信を守って脱出した。のちに豊臣家五奉行の１人となる。	→	풍신가 가신. 처음에는 연력사의 승려였으나 환속하여 직전신충을 섬겼다. 본능사의 변 당시에는 신충의 적남 수신을 지키며 탈출했다. 훗날 풍신가 오봉행의 한 사람이 되었다.
豊臣家臣。主君・秀吉の参謀を務め、秀吉の天下統一に大きく貢献した。しかしその卓抜した戦略的手腕を恐れられ、禄高は豊前中津１２万石に抑えられた。	→	풍신 가신. 주군 수길의 참모를 맡아 수길의 천하통일에 크게 공헌했다. 그러나 그 탁월한 전략적 수완을 두려워하여, 녹고는 풍전 중진 １２만석으로 억제되었다.
豊臣家臣。五奉行の１人として国政に参画。主君・秀吉の死後、西軍総大将として徳川家康と関ヶ原で戦うが、諸将の統制をとれずに敗れ、京都で斬首された。	→	풍신가신이다。오봉행의 １명으로 국정에 참여했다。주군 수길 사후、서군 총대장으로서 덕천가강과 관가원에서 싸웠으나、제장을 통제하지 못해 패하고 경도에서 참수되었다。
豊臣家臣。恵良城主。来島通康の子。土居・得能両家の子孫であるため、２字をとり得居姓を名乗る。主君・秀吉の朝鮮派兵に水軍を率いて従軍し、戦死した。	→	풍신 가신. 혜량성주. 내도통강의 아들. 토거와 득능 양가의 자손이기에 ２자를 따 득거 성을 칭했다. 주군 수길의 조선 파병에 수군을 이끌고 종군하여 전사했다.
豊臣家臣。慈明寺順国の子。叔父・順慶の養子となり、家督を継ぐが、素行不良のため改易された。大坂冬の陣の際、大坂方に内通した罪で自害させられた。	→	풍신 가신. 자명사순국의 아들. 숙부인 순경의 양자가 되어 가독을 이었으나 소행 불량으로 개역되었다. 대판 동진 때 대판 측에 내통한 죄로 자결을 강요당했다.
豊臣家臣。水軍の指揮に長け、朝鮮出兵に参加、肥後宇土２４万石を領する。関ヶ原合戦では西軍に属して敗北。キリシタンのため自害せず、斬首された。	→	풍신 가신. 수군 지휘에 능하여 조선 출병에 참가했고, 비후 우토 ２４만 석을 영유했다. 관원 합전에서는 서군에 속했다가 패배했다. 키리시탄이기에 자결하지 않고 참수되었다.
豊臣家臣。淡路島平定の功により、淡路州本５万石を領す。九州征伐の先鋒を務めた際、戸次川合戦で島津軍に大敗し、領国を没収されるが、のちに帰参した。	→	풍신 가문의 가신。담로도 평정의 공으로 담로주본 ５만석을 영유했다。구주 정벌의 선봉을 맡았을 때、호차천 합전에서 도진군에 대패하여 영지를 몰수당했으나、훗날 귀참했다。
豊臣家臣。直家の嫡男。主君・秀吉に寵愛され、五大老の１人となるが、内乱により重臣の大半を失う。関ヶ原合戦では西軍に属し、戦後八丈島へ配流された。	→	풍신가신이다。직가의 적남이다。주군 수길의 총애를 받아 오대로의 １명이 되었으나、내란으로 중신 대부분을 잃었다。관가원합전에서는 서군에 속했고、전후 팔장도로 유배되었다。
豊臣家臣。織部正に任官された。利休七哲の１人。織部焼を創始し、諸大名の茶の師匠を務めた。大坂の陣の際、豊臣方への内通疑惑により、自害させられた。	→	풍신 가신. 직부정에 임관되었다. 이휴칠철 중 한 명. 직부소를 창시하고 여러 다이묘의 다도 사범을 맡았다. 대판진 때 풍신 측에 내통했다는 의혹으로 자결을 강요당했다.
豊臣家臣。義祐の子。播磨置塩１万石を安堵される。賤ヶ岳合戦や小牧長久手合戦、四国征伐に従軍し、阿波住吉１万石を加増された。朝鮮派兵にも従軍した。	→	풍신가신이다。의우의 아들이다。파마 치염 １만석을 안도받았다。천가악합전과 소목장구수합전、사국 정벌에 종군해 아파 주길 １만석을 더 받았다。조선 파병에도 종군했다。
豊臣家臣。義祐の子。豊臣秀吉の九州征伐軍の先導役を務め、日向飫肥の旧領を回復した。朝鮮派兵にも従軍。関ヶ原合戦では東軍に属すが、戦後、病死した。	→	풍신 가신. 의우의 아들이다. 풍신수길의 구주 정벌군 선도역을 맡아 일향 어비의 옛 영지를 회복했다. 조선 파병에도 종군했다. 관원합전에서는 동군에 속했으나 전후 병사했다.
豊臣家臣。賤ヶ岳七本槍の筆頭。関ヶ原合戦では東軍の主力として奮戦し、安芸広島４９万石を得た。しかし、のちに居城・広島城無断修築の罪で改易される。	→	풍신 가신. 천악칠본창의 필두. 관원 합전에서는 동군의 주력으로 분전하여 안예 광도 49만 석을 얻었다. 그러나 훗날 거성인 광도성을 무단 수축한 죄로 개역되었다.
豊臣家臣。賤ヶ岳七本槍の１人。「沈勇の士」と評された。豊臣水軍の主力として各地の合戦で活躍。関ヶ原合戦では東軍に属し、伊予松山２０万石を領した。	→	풍신가 가신. 천악칠본창의 한 사람. 「침용의 무사」라 평가받았다. 풍신수군의 주력으로 각지의 합전에서 활약했다. 관원 합전에서는 동군에 속해 이예송산 ２０만석을 영유했다.
豊臣家臣。賤ヶ岳七本槍の１人。朝鮮出兵で活躍し「虎加藤」の逸話を残す。秀吉死後は石田三成と対立、関ヶ原合戦で東軍に属し、肥後熊本５２万石を得た。	→	풍신 가신. 천악칠본창의 한 사람. 조선출병에서 활약하여 「호가등」이라는 일화를 남겼다. 수길 사후에는 석전삼성과 대립했고, 관원 합전에서 동군에 속해 비후 웅본 52만 석을 얻었다.
豊臣家臣。通康の四男。はじめ河野家に属す。主君・秀吉の四国征伐の際は兄・得居通年とともに先鋒を務めた。朝鮮派兵に水軍を率いて従軍し、戦死した。	→	풍신 가신。통강의 사남。처음에는 하야가에 속했다。주군 수길의 사국정벌 때는 형 득거통년과 함께 선봉을 맡았다。조선파병에 수군을 이끌고 종군하여 전사했다。
豊臣家臣。重秀の子。朝鮮派兵に参加した。関ヶ原合戦では西軍に属し、伏見城を守る鳥居元忠を討つ戦功を挙げた。戦後、浪人したのち水戸徳川家に仕えた。	→	풍신 가신. 중수의 아들. 조선 파병에 참가했다. 관원합전에서는 서군에 속해, 복견성을 지키던 조거원충을 토벌한 전공을 세웠다. 전후, 낭인한 뒤 수호덕천가를 섬겼다.
豊臣家臣。関ヶ原合戦で西軍に属す。親友・石田三成のために病をおして奮戦、藤堂高虎の軍を撃退するが、寝返った小早川秀秋軍に攻められ敗北、自害した。	→	풍신가 가신. 관원 합전에서 서군에 속했다. 친우 석전삼성을 위해 병을 무릅쓰고 분전, 등당고호의 군을 격퇴했으나 배신한 소조천수추군의 공격을 받아 패배, 자결했다.
豊臣家臣。黒田官兵衛の嫡男。九州征伐などで活躍した。関ヶ原合戦では東軍に属し、筑前福岡５２万石を領した。以後は徳川幕府への恭順の姿勢を貫いた。	→	풍신 가신. 흑전관병위의 적남. 구주 정벌 등에서 활약했다. 관원 합전에서는 동군에 속하여 축전 복강 ５２만 석을 영유했다. 이후에는 덕천막부에 대한 공순의 자세를 관철했다.
